mid,lr,epoch,wd,ld,ld_type,criterion,avg_acc
0,0.0001,500,0.001,0,exponential,CROSSENTROPY,97.79999542
0,0.0001,500,0.001,0,time-based,MSE,97.30000305
0,0.0001,500,0.001,0,time-based,CROSSENTROPY,97.79999542
0,0.0001,500,0.001,0.0001,exponential,MSE,97.29999542
0,0.0001,500,0.001,0.0001,exponential,CROSSENTROPY,97.8999939
0,0.0001,500,0.001,0.0001,time-based,MSE,96.80000305
0,0.0001,500,0.001,0.0001,time-based,CROSSENTROPY,97.8999939
0,0.0001,500,0.001,0.001,exponential,MSE,97.69999695
0,0.0001,500,0.001,0.001,exponential,CROSSENTROPY,97.59999847
0,0.0001,500,0.001,0.001,time-based,MSE,97.69999695
0,0.0001,500,0.001,0.001,time-based,CROSSENTROPY,97.59999847
0,0.0001,500,0.001,0.01,exponential,MSE,48.29999924
0,0.0001,500,0.001,0.01,exponential,CROSSENTROPY,49.70000076
0,0.0001,500,0.001,0.01,time-based,MSE,95.90000153
0,0.0001,500,0.001,0.01,time-based,CROSSENTROPY,86
0,0.0001,500,0.01,0,exponential,MSE,97.30000305
0,0.0001,500,0.01,0,exponential,CROSSENTROPY,97.79999542
0,0.0001,500,0.01,0,time-based,MSE,97.30000305
0,0.0001,500,0.01,0,time-based,CROSSENTROPY,97.79999542
0,0.0001,500,0.01,0.0001,exponential,MSE,97.20000458
0,0.0001,500,0.01,0.0001,exponential,CROSSENTROPY,97.8999939
0,0.0001,500,0.01,0.0001,time-based,MSE,96.80000305
0,0.0001,500,0.01,0.0001,time-based,CROSSENTROPY,97.8999939
0,0.0001,500,0.01,0.001,exponential,MSE,97.80000305
0,0.0001,500,0.01,0.001,exponential,CROSSENTROPY,97.59999847
0,0.0001,500,0.01,0.001,time-based,MSE,97.80000305
0,0.0001,500,0.01,0.001,time-based,CROSSENTROPY,97.59999847
0,0.0001,500,0.01,0.01,exponential,MSE,48.29999924
0,0.0001,500,0.01,0.01,exponential,CROSSENTROPY,49.70000076
0,0.0001,500,0.01,0.01,time-based,MSE,95.90000153
0,0.0001,500,0.01,0.01,time-based,CROSSENTROPY,86
0,0.0005,250,0,0,exponential,MSE,71.30000305
0,0.0005,250,0,0,exponential,CROSSENTROPY,94.09999847
0,0.0005,250,0,0,time-based,MSE,71.30000305
0,0.0005,250,0,0,time-based,CROSSENTROPY,94.09999847
0,0.0005,250,0,0.0001,exponential,MSE,90.09999847
0,0.0005,250,0,0.0001,exponential,CROSSENTROPY,93.79999542
0,0.0005,250,0,0.0001,time-based,MSE,89.80000305
0,0.0005,250,0,0.0001,time-based,CROSSENTROPY,93.69999695
0,0.0005,250,0,0.001,exponential,MSE,91.90000153
0,0.0005,250,0,0.001,exponential,CROSSENTROPY,95.5
0,0.0005,250,0,0.001,time-based,MSE,93.09999847
0,0.0005,250,0,0.001,time-based,CROSSENTROPY,95
0,0.0005,250,0,0.01,exponential,MSE,96.79999542
0,0.0005,250,0,0.01,exponential,CROSSENTROPY,89.90000153
0,0.0005,250,0,0.01,time-based,MSE,95.30000305
0,0.0005,250,0,0.01,time-based,CROSSENTROPY,97.59999847
